VALMT.HE;Valmet Oyj
KOJAMO.HE;Kojamo Oyj
OUT1V.HE;Outokumpu Oyj
ELISA.HE;Elisa Oyj
FORTUM.HE;Fortum Oyj
KEMIRA.HE;Kemira Oyj
UPM.HE;UPM-Kymmene Oyj
NOKIA.HE;Nokia Corporation
STERV.HE;Stora Enso Oyj
TIETO.HE;TietoEVRY Oyj
MOCORP.HE;Metso Outotec Oyj
NDA-FI.HE;Nordea Bank Abp
HUH1V.HE;Huhtamaki Oyj
KESKOB.HE;Kesko Oyj
CGCBV.HE;Cargotec Corporation
ORNBV.HE;Orion Oyj
WRT1V.HE;Wartsila Oyj Abp
NELES.HE;Neles Oyj
SAMPO.HE;Sampo Oyj
KNEBV.HE;KONE Oyj
KCR.HE;Konecranes Plc
METSB.HE;Metsa Board Oyj
TELIA1.HE;Telia Company AB 
NESTE.HE;Neste Oyj
TYRES.HE;Nokian Renkaat Oyj